"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|FI","Without Sequence","4.85","",""
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|FI","Without Sequence","4.85","",""
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|FI","Without Sequence","4.85","",""
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|FI","Without Sequence","4.85","",""
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|FI","Without Sequence","3.95","",""
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|FI","Without Sequence","3.95","",""
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|FI","Without Sequence","3.95","",""
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|FI","Without Sequence","3.95","",""
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|FI","Without Sequence","3.80","",""
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|FI","Without Sequence","3.80","",""
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|FI","Without Sequence","3.80","",""
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|FI","Without Sequence","3.80","",""
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|FI","Without Sequence","3.46","",""
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|FI","Without Sequence","3.46","",""
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|FI","Without Sequence","3.46","",""
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|FI","Without Sequence","3.46","",""
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|FI","Without Sequence","3.44","",""
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|FI","Without Sequence","3.44","",""
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|FI","Without Sequence","3.44","",""
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|FI","Without Sequence","3.44","",""
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|FI","Without Sequence","3.88","",""
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|FI","Without Sequence","3.88","",""
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|FI","Without Sequence","3.88","",""
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|FI","Without Sequence","3.88","",""
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|FI","Without Sequence","20.88","",""
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|FI","Without Sequence","20.88","",""
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|FI","Without Sequence","20.88","",""
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|FI","Without Sequence","20.88","",""
